Emotion,Description,Source
Abhiman,"A complex emotion combining hurt pride, disappointment, and self-respect, often arising from perceived neglect or lack of recognition by someone valued.",The Book of Human Emotions
Reverence,"The text conveys reverence for the ancient Sanskrit Vedas, highlighting their spiritual significance in Hinduism and their historical value in offering insights into life in India 3,500 years ago.",The Book of Human Emotions
Abhiman,"Abhiman, rooted in the Vedas, signifies ""self-pride"" intertwined with strength (balam). It is a deeply cultural and untranslatable emotion, widely recognized across the Indian subcontinent.",The Book of Human Emotions
Abhiman,"A mix of pain, anger, and wounded pride arising from betrayal by loved ones or those we expect kindness from. Rooted in sorrow and shock, it reflects a serious breach of love and respect, often seen as an inevitable and acceptable emotional response in Indian culture.",The Book of Human Emotions
Abhiman,"A stubborn emotion tied to pride, abhiman causes deep suffering, often for the one experiencing it. In Tagore's ""Shasti,"" Chandara feels betrayed and wounded when her husband falsely accuses her of murder, violating their love and her role as a wife.",The Book of Human Emotions
Resentment,"Chandara, driven by unrelenting resentment and wounded pride (abhiman), confesses to murder and rejects her repentant husband’s attempts at reconciliation, maintaining her defiance even as she faces execution.",The Book of Human Emotions
Humiliation,"A feeling of deep embarrassment, shame, or loss of dignity, often caused by being belittled or disrespected by others.",The Book of Human Emotions
Acedia,"A state of spiritual or mental sloth, marked by apathy, listlessness, and a lack of motivation, often tied to feelings of despair or disconnection.",The Book of Human Emotions
Boredom,"A creeping, distracting feeling akin to a gnat's tickle, experienced by a Christian hermit in isolation, symbolizing the spiritual danger of acedia—a sinful passion requiring resistance.",The Book of Human Emotions
Acedia,"Acedia is a historical emotion marked by a mid-day crisis involving listlessness, irritability, and escalating into desolation and despair.",The Book of Human Emotions
Acedia,"Acedia, described as a ""foul darkness,"" caused physical lethargy, despair, and restlessness among early monks. It led to conflict, regret, and even suicidal tendencies, threatening their ascetic lifestyle. Considered the most dangerous of the Eight Evil Thoughts, it undermined their spiritual devotion and communal harmony.",The Book of Human Emotions
